person_id,first_name,last_name,display_last_comma_first
2294,Charlie,Bell,"Bell, Charlie"
203117,Doron,Lamb,"Lamb, Doron"
200794,Paul,Millsap,"Millsap, Paul"
708,Kevin,Garnett,"Garnett, Kevin"
2586,Keith,Bogans,"Bogans, Keith"
203487,Michael,Carter-Williams,"Carter-Williams, Michael"
2059,Eduardo,Najera,"Najera, Eduardo"
201583,Ryan,Anderson,"Anderson, Ryan"
201149,Joakim,Noah,"Noah, Joakim"
201971,DeJuan,Blair,"Blair, DeJuan"
202703,Nikola,Mirotic,"Mirotic, Nikola"
203489,Nate,Wolters,"Wolters, Nate"
101113,Ike,Diogu,"Diogu, Ike"
2738,Andre,Iguodala,"Iguodala, Andre"
101214,Jawad,Williams,"Williams, Jawad"
203080,Thomas,Robinson,"Robinson, Thomas"
2419,Tayshaun,Prince,"Prince, Tayshaun"
2250,Bobby,Simmons,"Simmons, Bobby"
2124,Malik,Allen,"Allen, Malik"
203816,Scotty,Hopson,"Hopson, Scotty"
201154,Al,Thornton,"Thornton, Al"
201156,Nick,Young,"Young, Nick"
201880,Greg,Stiemsma,"Stiemsma, Greg"
203580,Larry,Drew,"Drew, Larry"
203923,James,Young,"Young, James"
2772,Trevor,Ariza,"Ariza, Trevor"
2567,Brian,Cook,"Cook, Brian"
203957,Dante,Exum,"Exum, Dante"
202386,Ben,Uzoh,"Uzoh, Ben"
202734,E'Twaun,Moore,"Moore, E'Twaun"
202395,Sherron,Collins,"Collins, Sherron"
1495,Tim,Duncan,"Duncan, Tim"
2224,Jamaal,Tinsley,"Tinsley, Jamaal"
202389,Timofey,Mozgov,"Mozgov, Timofey"
200797,Ryan,Hollins,"Hollins, Ryan"
203475,Erick,Green,"Green, Erick"
101181,Jose,Calderon,"Calderon, Jose"
2594,Kyle,Korver,"Korver, Kyle"
201962,Toney,Douglas,"Douglas, Toney"
203952,Andrew,Wiggins,"Wiggins, Andrew"
203898,Tyler,Ennis,"Ennis, Tyler"
1899,James,Posey,"Posey, James"
2563,Dahntay,Jones,"Jones, Dahntay"
203540,Gigi,Datome,"Datome, Gigi"
203498,Shabazz,Muhammad,"Muhammad, Shabazz"
203197,Diante,Garrett,"Garrett, Diante"
201569,Eric,Gordon,"Gordon, Eric"
101187,Alan,Anderson,"Anderson, Alan"
201182,Derrick,Byars,"Byars, Derrick"
202951,Jeremy,Pargo,"Pargo, Jeremy"
2420,Nenad,Krstic,"Krstic, Nenad"
201144,Mike,Conley,"Conley, Mike"
202710,Jimmy,Butler,"Butler, Jimmy"
201175,Glen,Davis,"Davis, Glen"
202698,Chris,Singleton,"Singleton, Chris"
101198,Will,Bynum,"Bynum, Will"
202377,Pape,Sy,"Sy, Pape"
201601,Luc,"Mbah a Moute","Mbah a Moute, Luc"
202066,Garrett,Temple,"Temple, Garrett"
202419,Chris,Johnson,"Johnson, Chris"
203199,DeQuan,Jones,"Jones, DeQuan"
2041,Etan,Thomas,"Thomas, Etan"
202696,Nikola,Vucevic,"Vucevic, Nikola"
1863,Earl,Boykins,"Boykins, Earl"
203497,Rudy,Gobert,"Gobert, Rudy"
1503,Tracy,McGrady,"McGrady, Tracy"
101126,Nate,Robinson,"Robinson, Nate"
203903,Jordan,Clarkson,"Clarkson, Jordan"
203113,Quincy,Miller,"Miller, Quincy"
202356,Armon,Johnson,"Johnson, Armon"
202711,Bojan,Bogdanovic,"Bogdanovic, Bojan"
203519,Adonis,Thomas,"Thomas, Adonis"
203115,Will,Barton,"Barton, Will"
203187,Chris,Johnson,"Johnson, Chris"
2804,Andres,Nocioni,"Nocioni, Andres"
101138,Brandon,Bass,"Bass, Brandon"
200760,Rodney,Carney,"Carney, Rodney"
