players_espn_id,player_id,player_name,college_name,height,weight,player_url,pos,jersey
377,6583,Anthony Davis,Kentucky,6-11,253,http://www.espn.com/nba/player/_/id/6583/anthony-davis,PF,23
378,3919335,Cheick Diallo,Kansas,6-9,220,http://www.espn.com/nba/player/_/id/3919335/cheick-diallo,PF,13
379,3983,Tyreke Evans,Memphis,6-6,220,http://www.espn.com/nba/player/_/id/3983/tyreke-evans,SG,1
380,2488945,Tim Frazier,Penn State,6-1,170,http://www.espn.com/nba/player/_/id/2488945/tim-frazier,PG,2
381,2530572,Langston Galloway,Saint Joseph's,6-2,200,http://www.espn.com/nba/player/_/id/2530572/langston-galloway,SG,10
382,2990984,Buddy Hield,Oklahoma,6-4,214,http://www.espn.com/nba/player/_/id/2990984/buddy-hield,SG,24
383,2488958,Solomon Hill,Arizona,6-7,225,http://www.espn.com/nba/player/_/id/2488958/solomon-hill,SF,44
384,3995,Jrue Holiday,UCLA,6-4,205,http://www.espn.com/nba/player/_/id/3995/jrue-holiday,PG,11
385,6597,Terrence Jones,Kentucky,6-9,255,http://www.espn.com/nba/player/_/id/6597/terrence-jones,PF,9
386,6460,E'Twaun Moore,Purdue,6-4,191,http://www.espn.com/nba/player/_/id/6460/e'twaun-moore,SG,55
387,6464,Donatas Motiejunas, ,7-0,222,http://www.espn.com/nba/player/_/id/6464/donatas-motiejunas,PF,12
388,4253,Quincy Pondexter,Washington,6-7,225,http://www.espn.com/nba/player/_/id/4253/quincy-pondexter,SG,20
389,2983,LaMarcus Aldridge,Texas,6-11,260,http://www.espn.com/nba/player/_/id/2983/lamarcus-aldridge,PF,12
390,2993874,Kyle Anderson,UCLA,6-9,230,http://www.espn.com/nba/player/_/id/2993874/kyle-anderson,SG,1
391,3247,Joel Anthony,UNLV,6-9,245,http://www.espn.com/nba/player/_/id/3247/joel-anthony,C,30
392,6426,Davis Bertans, ,6-10,210,http://www.espn.com/nba/player/_/id/6426/davis-bertans,SF,42
393,2580913,Dewayne Dedmon,USC,7-0,245,http://www.espn.com/nba/player/_/id/2580913/dewayne-dedmon,C,3
394,2994526,Bryn Forbes,Michigan State,6-3,190,http://www.espn.com/nba/player/_/id/2994526/bryn-forbes,SG,11
395,996,Pau Gasol, ,7-0,250,http://www.espn.com/nba/player/_/id/996/pau-gasol,C,16
396,272,Manu Ginobili, ,6-6,205,http://www.espn.com/nba/player/_/id/272/manu-ginobili,SG,20
397,3988,Danny Green,North Carolina,6-6,215,http://www.espn.com/nba/player/_/id/3988/danny-green,SG,14
398,2772,David Lee,Florida,6-9,245,http://www.espn.com/nba/player/_/id/2772/david-lee,PF,10
399,6450,Kawhi Leonard,San Diego State,6-7,230,http://www.espn.com/nba/player/_/id/6450/kawhi-leonard,SF,2
400,4004,Patty Mills,Saint Mary's,6-0,185,http://www.espn.com/nba/player/_/id/4004/patty-mills,PG,8
401,3907497,Dejounte Murray,Washington,6-5,170,http://www.espn.com/nba/player/_/id/3907497/dejounte-murray,PG,5
402,1015,Tony Parker, ,6-2,185,http://www.espn.com/nba/player/_/id/1015/tony-parker,PG,9
403,2579466,Jonathon Simmons,Houston,6-6,195,http://www.espn.com/nba/player/_/id/2579466/jonathon-simmons,SG,17
404,6637,Kent Bazemore,Old Dominion,6-5,201,http://www.espn.com/nba/player/_/id/6637/kent-bazemore,SF,24
405,3062667,DeAndre Bembry,Saint Joseph's,6-6,210,http://www.espn.com/nba/player/_/id/3062667/deandre-bembry,SF,95
